正字,異體字
洽,
派,
流,
浙,
浚,濬
浦,
浩,澔
浪,
浬,
浮,
浴,
海,海
浸,
涂,塗
涇,泾
消,
涉,渉
涌,湧
涎,㳄
涓,
涕,䶏洟
涮,
涯,
液,
涵,
涸,凅
涼,凉鿌
淀,澱
淄,湽
淅,
淆,殽
淇,
淋,
淌,
淑,
淒,凄悽
淘,
淙,
淚,泪涙
淞,
淡,澹
淤,
淨,净浄凈
淩,凌
淪,沦
淫,婬
淮,
深,
淳,湻
淵,渊渕
混,
淸,清
淹,渰
淺,浅
添,
清,淸
渙,涣
渚,陼渚
減,减
渝,
渠,
渡,
渣,
渤,
渥,
渦,涡
測,测
渭,
港,
渲,
渴,渇
游,逰遊
渺,
渾,浑
湃,
湊,凑
湍,
湔,
湖,
湘,
湛,
湧,涌
湮,
湯,汤
溉,摡漑
源,厵
準,准凖
溘,
溜,澑
溝,沟
溢,
溥,
溪,渓
溫,温
溯,㴑泝遡
溶,
溺,尿氼
溼,濕湿
滂,
滄,沧
滅,灭烕
滇,
滋,
滌,涤
滑,磆
滓,
滔,
滬,沪
滯,滞
滲,渗
滴,
滷,卤
滾,滚
滿,满満
漁,渔䱷
漂,
漆,㯃柒桼
漏,
漓,灕
演,
漕,
漠,
漢,汉漢
漣,涟
漩,
漪,
漫,澷
漬,渍
漯,
漱,潄
漲,涨
漳,
漸,渐
漾,瀁
漿,浆𤕯
潑,泼溌
潔,洁
潘,
潛,潜濳
潟,澙
潢,
潤,润
潦,
潭,
潮,
潰,溃
潸,𣽽
潺,
潼,
澀,涩渋澁濇瀒
澄,澂
澆,浇
澇,涝
澈,徹
澎,
澗,涧㵎磵
澡,
澤,泽沢
澧,
澱,淀
澳,襖𥜌
澹,淡
激,
濁,浊
濂,
濃,浓
濘,泞
濛,蒙霥靀
濟,济済
濠,
濡,
濤,涛
濫,滥
濬,浚
濯,
濱,滨浜濵瀕
濺,溅
濾,滤沪
瀆,渎涜
瀉,泻
瀋,沈渖沉
瀏,浏嚠
瀑,
瀕,濒濱濵
瀚,
瀛,
瀝,沥
瀟,潇
瀧,泷滝
